Column,Class,Order,Family,SubFamily,Morfospecies,uniqueID,Abundance,ID_by,Notes
p12,Arachnida,Acari,,,LogLegTriangled,,3,G,
p15,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,1,P,
p15,Arachnida,Acari,,,SmallRollingBeige,,8,P,
p12,Gastropoda,Panpulmonata,,,GastropodaSp2,,1,G,
p15,Arachnida,Acari,,,MediumYellow,,4,P,
p12,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,7,G,
p15,Arachnida,Acari,,,MediumBrownTriangular,,2,P,
p12,Arachnida,Acari,,,SmallRollingBeige,,2,G,
p12,Arachnida,Acari,,,SmallYellowShiny,,7,G,
p15,Arachnida,Acari,,,LogLegTriangled,,1,P,
p12,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,1,G,
p12,Arachnida,Araneae,Theridiidae,,TheridiidaeSp1,,1,G,
p12,Insecta,Coleoptera,Carabidae,Harpalinae,Amara pseudobrunnea,,1,G,
p15,Arachnida,Acari,,,rollingBrown,,1,P,
p15,Insecta,Hymenoptera,Ichneumonidae,,HymentopteraSp5,,1,P,
p12,Insecta,Hymenoptera,Formicidae,,FormicidaeSp2,,1,G,
p12,Clitellata,Crassiclitellata,,,OligochaetaSp1,,1,G,
p12,Insecta,Hymenoptera,Ichneumonidae,,HymenopteraSp6,,1,G,
p13,Insecta,Coleoptera,Staphylinidae,Micropeplinae,MicropeplinaeSp1,,1,G,
p13,Arachnida,Acari,,,SmallYellowShiny,,5,G,
p13,Arachnida,Acari,,,MediumBrown,,1,G,
p13,Arachnida,Acari,,,MediumYellow,,4,G,
p13,Gastropoda,Panpulmonata,,,GastropodaSp2,,1,G,
p13,Arachnida,Acari,,,SmallRollingBeige,,2,G,
p13,Insecta,Hymenoptera,Ichneumonidae,,HymentopteraSp5,,1,G,
p6,Insecta,Coleoptera,Carabidae,Harpalinae,Amara pseudobrunnea,,2,G,
p6,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,1,G,
p6,Arachnida,Acari,,,SmallRollingBeige,,5,G,
p6,Arachnida,Acari,,,MediumYellow,,4,G,
p6,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,2,G,spiderlings
p11,Arachnida,Acari,,,MediumBrown,,46,P,
p6,Insecta,Hymenoptera,Ichneumonidae,,HymentopteraSp5,,1,G,
p6,Collembola,Poduromorpha,Hypogastruridae,,HypogastruridaeSp1,,2,G,
p11,Arachnida,Acari,,,SmallRollingBeige,,15,P,
p6,Arachnida,Acari,,,MediumBrown,,1,G,
p11,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,1,P,
p11,Arachnida,Acari,,,BlackMite,,3,P,
p11,Arachnida,Acari,,,SmallYellowShiny,,9,P,
p11,Arachnida,Acari,,,rollingBrown,,1,P,
p11,Arachnida,Acari,,,MediumYellow,,3,P,
p11,Arachnida,Pseudoscorpiones,Cheliferidae,,Chelifer cancroides,,1,P,
p11,Insecta,Hymenoptera,Formicidae,,FormicidaeSp2,,1,P,
p14,Arachnida,Acari,,,MediumBrown,,33,P,
p3,Insecta,Hymenoptera,Formicidae,,FormicidaeSp2,,1,P,
p14,Collembola,Poduromorpha,Neuridae,Neurinae,NeurinaeSp1,,6,P,
p14,Arachnida,Acari,,,SmallRollingBeige,,42,P,
p14,Arachnida,Acari,,,MediumYellow,,4,P,
p14,Arachnida,Acari,,,SmallYellowShiny,,28,P,
p14,Arachnida,Acari,,,MediumBrownTriangular,,1,P,
p14,Arachnida,Acari,,,rollingBrown,,15,P,
p14,Arachnida,Acari,,,BlackMite,,5,P,
p14,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,4,P,
p14,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,3,P,
p14,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,3,P,
p14,Collembola,Neelipleona,Neelidae,,NeelidaeSp1,,2,P,
p14,Collembola,Poduromorpha,Hypogastruridae,,HypogastruridaeSp1,,2,P,
p14,Insecta,Hymenoptera,,,HymentopteraSp7,,1,P,
p14,Insecta,Hymenoptera,,,HymentopteraSp8,,1,P,
p14,Insecta,Coleoptera,Staphylinidae,Staphylininae,AthetaSp2,,2,P,
p14,Diplopoda,Spirostreptidae?,,,DiplopodaSp2,,1,P,
p9,Arachnida,Acari,,,MediumBrown,,91,G,
p9,Arachnida,Acari,,,LogLegTriangled,,2,G,
p9,Insecta,Coleoptera,Staphylinidae,Steninae,SteninaeSp1,,1,G,
p9,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,8,G,
p9,Gastropoda,Panpulmonata,,,flat white,,2,G,
p9,Arachnida,Acari,,,SmallRollingBeige,,12,G,
p9,Arachnida,Acari,,,rollingBrown,,8,G,
p9,Arachnida,Acari,,,SmallYellowShiny,,19,G,
p9,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,6,G,
p9,Collembola,Poduromorpha,Hypogastruridae,,HypogastruridaeSp1,,10,G,
p9,Arachnida,Araneae,Hahniidae,,HahniidaeSp1,,1,G,
p9,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,6,G,
p9,Arachnida,Araneae,Theriididae,,TheridiidaeSp2,,1,G,
p9,Insecta,Hemiptera,Aphididae,,AphididaeSp1,,1,G,
p9,Arachnida,Acari,,,White long Legs,,1,G,
p9,Insecta,Hymenoptera,,,HymenopteraSp5,,1,G,
p9,Insecta,Hymenoptera,,,HymenopteraSp3,,1,G,
p10,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp1,,8,P,
p10,Insecta,Hymenoptera,,,HymenopteraSp3,,3,P,
p10,Insecta,Hymenoptera,,,HymenopteraSp3,,1,P,
p10,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp2,,1,P,
p8,Arachnida,Acari,,,MediumBrown,,108,G,
p10,Arachnida,Pseudoscorpiones,Cheliferidae,,Chelifer cancroides,,2,P,
p8,Insecta,Coleoptera,Carabidae,,CarabidaeSp2,,1,G,
p10,Insecta,Hymenoptera,,,FormicidaeSp2,,1,P,
p10,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,7,P,
p8,Insecta,Coleoptera,Cryptophagidae,,AtomariaSp1,,3,G,
p8,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,17,G,
p8,Arachnida,Acari,,,SmallRollingBeige,,7,G,
p10,Collembola,Poduromorpha,Hypogastruridae,,HypogastruridaeSp1,,1,P,
p8,Arachnida,Acari,,,LogLegTriangled,,9,G,
p8,Arachnida,Acari,,,White long Legs,,1,G,
p8,Collembola,Poduromorpha,Neuridae,Neurinae,NeurinaeSp1,,3,P,
p8,Arachnida,Araneae,Linyphiidae,,LinyphiidaeSp2,,10,G,
p10,Collembola,Entomobryomorha,Onychiuridae,,OnychiuridaeSp1,,2,P,
p8,Arachnida,Araneae,Therididae,,TheridiidaeSp2,,1,G,
p8,Collembola,Entomobryomorha,Onychiuridae,,OnychiuridaeSp1,,1,G,
p10,Gastropoda,Panpulmonata,,,GastropodaSp3,,1,P,
p8,Insecta,Hymenoptera,,,HymenopteraSp3,,1,G,
p8,Insecta,Hymenoptera,,,HymenopteraSp5,,2,G,
p8,Collembola,Entomobryomorha,Entomobryoidae,,CollembolaLW_sp1,,3,G,
p10,Arachnida,Acari,,,MediumBrown,,49,P,
p8,Collembola,Poduromorpha,Hypogastruridae,,HypogastruridaeSp1,,1,G,
p8,Arachnida,Acari,,,MediumYellow,,14,G,
p8,Insecta,Coleoptera,Staphylinidae,,StaphylinidaeP8,,1,G,check if atheta
p10,Arachnida,Acari,,,LogLegTriangled,,1,P,
p10,Arachnida,Acari,,,SmallYellowShiny,,52,P,
p10,Arachnida,Acari,,,SmallRollingBeige,,4,P,
p10,Arachnida,Acari,,,MediumYellow,,6,P,
p10,Arachnida,Acari,Euzetidae,,MediumBlackshiny,,1,P,
p10,Arachnida,Acari,,,rollingBrown,,14,P,
p10,Collembola,Entomobryomorpha,Tomoceridae,,TomoceridaeSp1,,1,P,
p10,Collembola,Poduromorpha,Hypogastruridae,,HypogastruridaeSp2,,2,P,
p10,Arachnida,Acari,,,MediumBrownTriangular,,4,P,
p10,Insecta,Coleoptera,Staphylinidae,Staphylininae,AthetaSp2,,1,P,
p10,Insecta,Coleoptera,Staphylinidae,Staphylininae,PlatydracusSp1,,4,P,
p10,Insecta,Coleoptera,Staphylinidae,Staphylininae,PlatydracusSp2,,1,P,
p10,Arachnida,Acari,,,BrownSpidermite,,1,P,
